;Secretaría de Estado de Energía                   D.G. Política Energética y Minas                              S.G. Energía Nuclear;;
INSTALACIONES RADIACTIVAS;;;
;;;
;Activas;;
;;;
;2º Categoría;3ª Categoría;Subtotal
;;;
ANDALUCIA;140;49;189
ARAGÓN;39;13;52
BALEARES;14;1;15
CANARIAS;23;5;28
CANTABRIA;18;7;25
CASTILLA - LAMANCHA;33;6;39
CASTILLA - LEÓN;53;20;73
CATALUÑA;167;73;240
CEUTA;1;0;1
COM. VALENCIANA;77;19;96
EXTREMADURA;17;4;21
GALICIA;50;9;59
LA RIOJA;6;0;6
MADRID;171;73;244
MELILLA;0;0;0
MURCIA;28;3;31
NAVARRA;23;8;31
PAÍS VASCO;72;69;141
PRINCIPADO ASTURIAS;33;7;40
;;;
TOTAL;965;366;1.331
;;;
Datos actualizados 31/12/2016;;;
