"Maig","BSCH        0781","ES * * 049 * * 4146","150283,6"
"Maig","LA CAIXA  Habilit 6208","ES * * 100 * * 0201","68013,86"
"Maig","BBVA         5941","ES * * 182 * * 3131","69658,14"
"Maig","LA CAIXA  Tresor 6208","ES * * 100 * * 6041","5799.845,52"
"Maig","BANKIA   6309","ES * * 038 * * 1406","32655,83"
"Juny","BANKIA    6309","ES * * 038 * * 1406","32655,83"
"Juny","LA CAIXA  Habilit 6208","ES * * 100 * * 0201","51536,05"
"Juny","BBVA         5941","ES * * 182 * * 3131","69658,14"
"Juny","LA CAIXA  Tresor 6208","ES * * 100 * * 6041","3683.297,64"
"Juny","BSCH       0781","ES * * 049 * * 4146","150283,6"
"Juliol","BBVA         5941","ES * * 182 * * 3131","69658,14"
"Juliol","LA CAIXA  Tresor 6208","ES * * 100 * * 6041","3171.559,59"
"Juliol","BSCH        0781","ES * * 049 * * 4146","150283,6"
"Juliol","BANKIA    6309","ES * * 038 * * 1406","32655,83"
"Juliol","LA CAIXA  Habilit 6208","ES * * 100 * * 0201","44184,18"
"Agost","BBVA         5941","ES * * 182 * * 3131","69658,14"
"Agost","BSCH        0781","ES * * 049 * * 4146","150283,6"
"Agost","BANKIA   6309","ES * * 038 * * 1406","32655,83"
"Agost","LA CAIXA  Tresor 6208","ES * * 100 * * 6041","4014.889,5"
"Agost","LA CAIXA  Habilit 6208","ES * * 100 * * 0201","38325,81"
"Setembre","BSCH        0781","ES * * 049 * * 4146","151906,21"
"Setembre","BBVA         5941","ES * * 182 * * 3131","69658,14"
"Setembre","LA CAIXA  Habilit 6208","ES * * 100 * * 0201","30522,19"
"Setembre","LA CAIXA  Tresor 6208","ES * * 100 * * 6041","4848.989,76"
"Setembre","BANKIA   6309","ES * * 038 * * 1406","32655,83"
